,municipio
0,Álvaro Obregón
1,Azcapotzalco
2,Benito Juárez
3,Coyoacán
4,Cuajimalpa de Morelos
5,Cuauhtémoc
6,Gustavo A. Madero
7,Iztacalco
8,Iztapalapa
9,La Magdalena Contreras
10,Miguel Hidalgo
11,Milpa Alta
12,Tláhuac
13,Tlalpan
14,Venustiano Carranza
15,Xochimilco
16,Aguascalientes
17,San Francisco de los Romo
18,El Llano
19,Rincón de Romos
20,Cosío
21,San José de Gracia
22,Tepezalá
23,Pabellón de Arteaga
24,Asientos
25,Calvillo
26,Jesús María
27,Mexicali
28,Tecate
29,San Felipe
30,Tijuana
31,Playas de Rosarito
32,Ensenada
33,San Quintín
34,La Paz
35,Los Cabos
36,Comondú
37,Loreto
38,Mulegé
39,Campeche
40,Carmen
41,Palizada
42,Candelaria
43,Escárcega
44,Champotón
45,Seybaplaya
46,Hopelchén
47,Calakmul
48,Tenabo
49,Hecelchakán
50,Calkiní
51,Dzitbalché
52,Saltillo
53,Arteaga
54,Juárez
55,Progreso
56,Escobedo
57,San Buenaventura
58,Abasolo
59,Candela
60,Frontera
61,Monclova
62,Castaños
63,Ramos Arizpe
64,General Cepeda
65,Piedras Negras
66,Nava
67,Acuña
68,Múzquiz
69,Jiménez
70,Zaragoza
71,Morelos
72,Allende
73,Villa Unión
74,Guerrero
75,Hidalgo
76,Sabinas
77,San Juan de Sabinas
78,Torreón
79,Matamoros
80,Viesca
81,Ocampo
82,Nadadores
83,Sierra Mojada
84,Cuatro Ciénegas
85,Lamadrid
86,Sacramento
87,San Pedro
88,Francisco I. Madero
89,Parras
90,Colima
91,Tecomán
92,Manzanillo
93,Armería
94,Coquimatlán
95,Comala
96,Ixtlahuacán
97,Minatitlán
98,Villa de Álvarez
99,Tuxtla Gutiérrez
100,San Fernando
101,Berriozábal
102,Ocozocoautla de Espinosa
103,Suchiapa
104,Chiapa de Corzo
105,Osumacinta
106,San Cristóbal de las Casas
107,Chamula
108,Ixtapa
109,Zinacantán
110,Acala
111,Emiliano Zapata
112,Chiapilla
113,San Lucas
114,Teopisca
115,Amatenango del Valle
116,Chanal
117,Oxchuc
118,Huixtán
119,Tenejapa
120,Mitontic
121,Reforma
122,Pichucalco
123,Sunuapa
124,Ostuacán
125,Francisco León
126,Ixtacomitán
127,Solosuchiapa
128,Ixtapangajoya
129,Mezcalapa
130,Tecpatán
131,Copainalá
132,Chicoasén
133,Coapilla
134,Pantepec
135,Tapalapa
136,Ocotepec
137,Chapultenango
138,Amatán
139,Huitiupán
140,Ixhuatán
141,Tapilula
142,Rayón
143,Pueblo Nuevo Solistahuacán
144,Rincón Chamula San Pedro
145,Jitotol
146,Bochil
147,Soyaló
148,San Juan Cancuc
149,Sabanilla
150,Simojovel
151,San Andrés Duraznal
152,El Bosque
153,Chalchihuitán
154,Larráinzar
155,Santiago el Pinar
156,Chenalhó
157,Aldama
158,Pantelhó
159,Sitalá
160,Salto de Agua
161,Tila
162,Tumbalá
163,Yajalón
164,Ocosingo
165,Chilón
166,Benemérito de las Américas
167,Marqués de Comillas
168,Palenque
169,La Libertad
170,Catazajá
171,Comitán de Domínguez
172,Tzimol
173,Chicomuselo
174,Bella Vista
175,Frontera Comalapa
176,La Trinitaria
177,La Independencia
178,Maravilla Tenejapa
179,Las Margaritas
180,Altamirano
181,Totolapa
182,Nicolás Ruíz
183,Las Rosas
184,La Concordia
185,Ángel Albino Corzo
186,Montecristo de Guerrero
187,Socoltenango
188,Cintalapa
189,Jiquipilas
190,Arriaga
191,Villaflores
192,Tonalá
193,Villa Corzo
194,El Parral
195,Pijijiapan
196,Mapastepec
197,Acapetahua
198,Acacoyagua
199,Escuintla
200,Villa Comaltitlán
201,Huixtla
202,Mazatán
203,Huehuetán
204,Tuzantán
205,Tapachula
206,Suchiate
207,Frontera Hidalgo
208,Metapa
209,Tuxtla Chico
210,Unión Juárez
211,Cacahoatán
212,Motozintla
213,Mazapa de Madero
214,Amatenango de la Frontera
215,Bejucal de Ocampo
216,La Grandeza
217,El Porvenir
218,Siltepec
219,Honduras de la Sierra
220,Capitán Luis Ángel Vidal
221,Chihuahua
222,Riva Palacio
223,Aquiles Serdán
224,Bachíniva
225,Nuevo Casas Grandes
226,Ascensión
227,Janos
228,Casas Grandes
229,Galeana
230,Buenaventura
231,Gómez Farías
232,Ignacio Zaragoza
233,Madera
234,Namiquipa
235,Temósachic
236,Matachí
237,Guadalupe
238,Praxedis G. Guerrero
239,Ahumada
240,Coyame del Sotol
241,Ojinaga
242,Julimes
243,Manuel Benavides
244,Delicias
245,Rosales
246,Meoqui
247,Dr. Belisario Domínguez
248,Satevó
249,San Francisco de Borja
250,Nonoava
251,Guachochi
252,Bocoyna
253,Cusihuiriachi
254,Gran Morelos
255,Santa Isabel
256,Carichí
257,Uruachi
258,Moris
259,Chínipas
260,Maguarichi
261,Guazapares
262,Batopilas de Manuel Gómez Morín
263,Urique
264,Guadalupe y Calvo
265,San Francisco del Oro
266,Rosario
267,Huejotitán
268,El Tule
269,Balleza
270,Santa Bárbara
271,Camargo
272,Saucillo
273,Valle de Zaragoza
274,La Cruz
275,San Francisco de Conchos
276,Hidalgo del Parral
277,López
278,Coronado
279,Durango
280,Canatlán
281,Nuevo Ideal
282,Coneto de Comonfort
283,San Juan del Río
284,Canelas
285,Topia
286,Tamazula
287,Santiago Papasquiaro
288,Otáez
289,San Dimas
290,Guadalupe Victoria
291,Peñón Blanco
292,Pánuco de Coronado
293,Poanas
294,Nombre de Dios
295,Vicente Guerrero
296,Súchil
297,Pueblo Nuevo
298,Mezquital
299,Gómez Palacio
300,Lerdo
301,Mapimí
302,Tlahualilo
303,Guanaceví
304,San Bernardo
305,Indé
306,San Pedro del Gallo
307,Tepehuanes
308,El Oro
309,Nazas
310,San Luis del Cordero
311,Rodeo
312,Cuencamé
313,Santa Clara
314,San Juan de Guadalupe
315,General Simón Bolívar
316,Guanajuato
317,Silao de la Victoria
318,Romita
319,San Francisco del Rincón
320,Purísima del Rincón
321,Manuel Doblado
322,Irapuato
323,Salamanca
324,Pénjamo
325,Cuerámaro
326,Huanímaro
327,León
328,San Miguel de Allende
329,Dolores Hidalgo Cuna de la Independencia Nacional
330,San Diego de la Unión
331,San Luis de la Paz
332,Victoria
333,Xichú
334,Atarjea
335,Santa Catarina
336,Doctor Mora
337,Tierra Blanca
338,San José Iturbide
339,Celaya
340,Apaseo el Grande
341,Comonfort
342,Santa Cruz de Juventino Rosas
343,Villagrán
344,Cortazar
345,Valle de Santiago
346,Jaral del Progreso
347,Apaseo el Alto
348,Jerécuaro
349,Coroneo
350,Acámbaro
351,Tarimoro
352,Tarandacuao
353,Moroleón
354,Salvatierra
355,Yuriria
356,Santiago Maravatío
357,Uriangato
358,Chilpancingo de los Bravo
359,General Heliodoro Castillo
360,Leonardo Bravo
361,Tixtla de Guerrero
362,Ayutla de los Libres
363,Mochitlán
364,Quechultenango
365,Tecoanapa
366,Acapulco de Juárez
367,Juan R. Escudero
368,San Marcos
369,Iguala de la Independencia
370,Huitzuco de los Figueroa
371,Tepecoacuilco de Trujano
372,Eduardo Neri
373,Taxco de Alarcón
374,Buenavista de Cuéllar
375,Tetipac
376,Pilcaya
377,Teloloapan
378,Ixcateopan de Cuauhtémoc
379,Pedro Ascencio Alquisiras
380,General Canuto A. Neri
381,Arcelia
382,Apaxtla
383,Cuetzala del Progreso
384,Cocula
385,Tlapehuala
386,Cutzamala de Pinzón
387,Pungarabato
388,Tlalchapa
389,Coyuca de Catalán
390,Ajuchitlán del Progreso
391,Zirándaro
392,San Miguel Totolapan
